ID;Ano Nascimento;Escolaridade;Estado Civil;Salario Anual;Filhos em Casa;Adolescentes em Casa;Data Cadastro;Dias Desde Ultima Compra;Gasto com Eletronicos;Gasto com Brinquedos;Gasto com Moveis;Gasto com Utilidades;Gasto com Alimentos;Gasto com Vestuario;Numero de Compras com Desconto;Numero de Compras na Web;Numero de Compras via Catalogo;Numero de Compras na Loja;Numero Visitas WebSite Mes;Compra na Campanha 1;Compra na Campanha 2;Compra na Campanha 3;Compra na Campanha 4;Compra na Campanha 5;Comprou;Pais
5332;1960;Segundo Grau;Solteiro;82504;0;0;7/03/2023;2;362;50;431;134;35;54;1;3;6;7;1;0;0;0;0;0;0;Argentina
1519;1972;Doutorado;Solteiro;38578;1;1;6/04/2023;2;38;4;22;3;3;3;3;3;0;3;8;0;0;0;0;0;1;Estados Unidos
9080;1972;Doutorado;Solteiro;38578;1;1;6/04/2023;2;38;4;22;3;3;3;3;3;0;3;8;0;0;0;0;0;0;Estados Unidos
1772;1975;Doutorado;Solteiro;79174;0;0;01/11/2020;2;1074;37;518;193;92;129;1;5;6;7;2;0;0;1;1;0;1;Chile
5341;1962;Segundo Grau;Divorciado;81975;0;1;01/05/2020;2;983;76;184;180;138;27;1;6;3;4;7;0;0;1;0;0;0;Espanha
5510;1977;Mestrado;Solteiro;43263;0;1;11/04/2022;2;262;6;61;0;10;102;3;5;2;6;5;0;0;0;0;0;0;Estados Unidos
3887;1970;Curso Superior;Solteiro;27242;1;0;11/11/2019;2;3;17;26;20;1;39;2;2;0;3;9;0;0;0;0;0;1;Argentina
7022;1971;Curso Superior;Solteiro;76445;1;0;09/03/2022;2;739;107;309;140;80;35;1;2;5;13;6;0;0;0;0;0;0;Espanha
9999;1965;Curso Superior;Casado;75276;0;0;09/08/2022;2;610;105;125;137;42;21;1;9;4;9;5;0;0;0;0;0;0;Estados Unidos
10352;1963;Curso Superior;Divorciado;34213;1;1;09/07/2019;2;50;4;28;6;3;26;3;3;1;2;9;0;0;0;0;0;1;Espanha
7919;1976;Doutorado;Casado;72335;0;0;8/07/2022;2;1285;105;653;28;21;0;1;10;4;8;8;0;0;0;0;0;1;Estados Unidos
4114;1964;Mestrado;Solteiro;79143;0;0;08/11/2019;2;650;37;780;27;167;32;1;6;9;13;3;0;0;0;0;0;0;Brasil
7990;1947;Curso Superior;Solteiro;27469;0;0;08/02/2019;2;9;1;2;3;2;0;1;0;0;3;6;0;0;0;0;0;0;Chile
9888;1969;Curso Superior;Casado;68695;0;0;6/04/2021;3;458;81;356;106;50;40;1;4;4;7;2;0;0;0;0;0;0;Estados Unidos
4399;1969;Curso Superior;Casado;68695;0;0;6/04/2021;3;458;81;356;106;50;40;1;4;4;7;2;0;0;0;0;0;0;Chile
4452;1957;Curso Superior;Solteiro;50388;0;1;5/03/2021;3;292;6;37;0;3;34;4;6;1;6;7;0;1;0;1;0;1;Alemanha
4785;1970;Doutorado;Casado;77622;0;2;4/02/2021;3;520;7;154;19;0;14;2;6;3;11;3;0;0;0;0;0;0;Espanha
8461;1962;Curso Superior;Divorciado;46102;2;1;03/10/2018;3;14;0;1;0;0;1;1;1;0;2;7;0;0;0;0;0;0;Estados Unidos
3878;1980;Segundo Grau;Solteiro;31859;1;0;2/03/2021;3;3;4;7;15;8;11;1;1;0;3;7;0;0;0;0;0;0;Estados Unidos
9612;1987;Segundo Grau;Solteiro;23830;0;0;02/07/2018;3;1;8;6;4;8;16;1;1;0;3;7;0;0;0;0;0;0;Estados Unidos
4098;1973;Curso Superior;Solteiro;24639;1;1;1/03/2021;3;20;3;16;0;4;1;3;2;0;4;6;0;0;0;0;0;0;Brasil
158;1945;Doutorado;Casado;71604;0;0;11/02/2023;3;345;53;528;98;75;97;1;8;3;5;4;1;0;0;0;0;1;Estados Unidos
3896;1984;Curso Superior;Solteiro;27255;1;0;11/07/2020;3;22;1;11;0;1;2;1;1;0;3;7;0;0;0;0;0;0;Estados Unidos
9970;1977;Curso Superior;Casado;55375;0;1;10/02/2023;3;42;11;57;10;28;14;1;1;1;6;2;0;0;0;0;0;0;Chile
4002;1960;Doutorado;Solteiro;77037;0;1;10/07/2023;3;463;96;333;168;53;10;1;7;7;12;3;0;0;0;0;0;0;Estados Unidos
10914;1970;Curso Superior;Solteiro;24163;1;1;10/04/2020;3;4;1;7;2;1;2;2;1;0;3;4;0;0;0;0;0;0;Estados Unidos
7279;1969;Doutorado;Casado;69476;0;0;9/02/2023;3;260;86;559;63;9;67;1;4;6;4;2;0;0;0;0;0;0;Portugal
10582;1979;Curso Superior;Solteiro;72063;0;1;07/03/2020;3;180;32;348;76;32;90;2;5;2;12;2;0;0;0;0;0;0;Alemanha
4470;1962;Mestrado;Solteiro;58646;0;1;06/10/2020;3;62;1;44;6;5;22;1;2;1;4;4;0;0;0;0;0;0;Estados Unidos
6183;1962;Mestrado;Solteiro;58646;0;1;06/10/2020;3;62;1;44;6;5;22;1;2;1;4;4;0;0;0;0;0;0;Alemanha
6379;1949;Mestrado;Divorciado;47570;1;1;5/07/2023;3;67;1;20;0;2;31;3;2;2;2;7;0;0;0;0;0;1;Portugal
8601;1980;Curso Superior;Solteiro;80011;0;1;4/07/2023;3;421;76;536;82;178;102;2;8;6;5;4;0;0;0;0;0;0;Brasil
4827;1956;Doutorado;Solteiro;54998;0;1;03/10/2020;3;154;22;202;39;30;8;5;4;2;9;4;0;0;0;0;0;1;Estados Unidos
6715;1948;Doutorado;Solteiro;60200;0;1;01/02/2020;3;502;19;132;0;6;26;6;6;2;11;6;0;0;0;0;0;0;Estados Unidos
10676;1982;Curso Superior;Solteiro;63211;0;0;11/02/2019;3;145;193;459;205;26;145;2;3;8;7;2;0;0;0;0;0;1;Estados Unidos
1041;1973;Doutorado;Solteiro;48432;0;1;10/04/2022;3;322;3;50;4;3;42;5;7;1;6;8;0;0;0;0;0;1;Espanha
492;1973;Doutorado;Casado;48432;0;1;10/04/2022;3;322;3;50;4;3;42;5;7;1;6;8;0;0;0;0;0;0;Chile
11133;1973;Doutorado;Casado;48432;0;1;10/04/2022;3;322;3;50;4;3;42;5;7;1;6;8;0;0;0;0;0;1;Argentina
4491;1949;Mestrado;Solteiro;62845;1;1;10/01/2019;3;1099;0;45;0;0;34;11;3;4;10;8;0;1;0;0;0;0;Estados Unidos
873;1949;Mestrado;Solteiro;62845;1;1;10/01/2019;3;1099;0;45;0;0;34;11;3;4;10;8;0;1;0;0;0;1;Estados Unidos
1631;1965;Doutorado;Casado;65220;0;0;09/03/2019;3;890;63;292;0;25;12;4;8;4;7;6;0;0;0;0;0;1;Alemanha
8278;1990;Doutorado;Solteiro;74214;0;0;8/03/2022;3;863;83;547;86;99;33;1;8;2;5;5;0;0;0;0;0;0;Estados Unidos
6815;1980;Segundo Grau;Solteiro;96547;0;0;5/04/2021;4;448;21;125;52;101;62;0;7;6;8;2;1;0;1;1;0;1;Estados Unidos
254;1955;Curso Superior;Casado;53863;0;1;5/02/2021;4;399;4;30;6;4;30;3;7;1;7;7;0;1;0;0;0;0;Estados Unidos
1349;1970;Curso Superior;Solteiro;50447;2;0;4/04/2021;4;85;7;24;2;3;27;1;3;1;3;6;0;0;0;0;0;0;Argentina
2534;1953;Curso Superior;Solteiro;37716;0;1;4/04/2021;4;97;1;41;6;2;41;2;4;1;3;7;0;0;0;0;0;0;Brasil
2130;1982;Curso Superior;Casado;45203;2;0;3/04/2021;4;35;3;67;10;8;24;1;3;1;3;6;0;0;0;0;0;1;Espanha
2296;1975;Mestrado;Solteiro;37368;1;0;12/01/2023;4;3;2;11;2;2;10;1;1;0;2;6;1;0;0;0;0;0;Estados Unidos
3799;1955;Curso Superior;Solteiro;67225;0;1;11/03/2023;4;315;35;322;46;7;143;3;7;2;11;5;0;0;0;0;0;0;Portugal
11084;1976;Mestrado;Casado;65104;0;1;11/02/2023;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;1;Chile
5172;1976;Mestrado;Casado;65104;0;1;11/02/2023;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;0;Estados Unidos
9504;1949;Mestrado;Solteiro;81698;0;0;11/06/2020;4;179;28;520;111;123;47;1;3;8;13;1;0;0;0;0;0;1;Estados Unidos
850;1968;Curso Superior;Solteiro;70566;0;1;10/06/2020;4;381;28;215;84;28;21;2;6;5;9;3;0;0;0;0;0;0;Estados Unidos
4477;1958;Curso Superior;Casado;69096;0;1;9/03/2023;4;247;49;159;7;82;109;1;5;2;10;4;0;0;0;0;0;0;Alemanha
1945;1962;Curso Superior;Solteiro;71434;0;1;09/05/2022;4;711;36;217;172;96;168;3;7;4;7;4;0;1;0;1;0;0;Estados Unidos
7685;1978;Curso Superior;Solteiro;33039;1;0;09/09/2020;4;30;8;12;8;8;12;1;2;0;4;5;0;0;0;0;0;0;Estados Unidos
6310;1978;Curso Superior;Solteiro;33039;1;0;09/09/2020;4;30;8;12;8;8;12;1;2;0;4;5;0;0;0;0;0;0;Chile
10832;1958;Curso Superior;Casado;46610;0;0;07/05/2022;4;288;10;30;4;10;125;1;6;1;6;6;0;0;0;0;0;0;Estados Unidos
3025;1958;Curso Superior;Solteiro;49967;0;1;07/08/2020;4;212;6;69;4;12;3;3;6;1;5;7;0;0;0;0;0;0;Chile
2404;1976;Curso Superior;Solteiro;53359;1;1;5/03/2023;4;173;4;30;3;6;41;4;5;1;4;7;0;0;0;0;0;0;Portugal
8581;1971;Mestrado;Solteiro;49505;1;1;03/05/2020;4;604;0;100;19;0;28;9;10;2;8;8;0;0;0;0;0;0;Estados Unidos
8755;1946;Mestrado;Solteiro;68657;0;0;02/05/2022;4;482;34;471;119;68;22;1;3;5;9;7;0;0;0;0;0;0;Brasil
10177;1954;Curso Superior;Divorciado;72071;0;1;2/02/2023;4;531;69;300;150;138;150;3;5;4;8;2;0;0;0;0;0;0;Estados Unidos
2429;1954;Curso Superior;Divorciado;72071;0;1;2/02/2023;4;531;69;300;150;138;150;3;5;4;8;2;0;0;0;0;0;0;Chile
8920;1967;Mestrado;Solteiro;59235;1;0;01/03/2020;4;448;40;469;80;0;91;3;11;2;12;7;0;0;0;0;0;0;Argentina
8430;1957;Curso Superior;Casado;21994;0;1;12/04/2022;4;9;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;0;Brasil
8619;1957;Curso Superior;Casado;21994;0;1;12/04/2022;4;9;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;0;Estados Unidos
8996;1957;Doutorado;Solteiro;;2;1;11/04/2022;4;230;42;192;49;37;53;12;7;2;8;9;0;0;0;0;0;0;Alemanha
7233;1972;Curso Superior;Solteiro;69209;0;0;9/02/2022;4;496;32;849;229;48;128;2;5;3;6;4;0;0;0;1;0;0;Chile
6678;1989;Curso Superior;Casado;31928;1;0;3/03/2021;5;33;4;24;4;2;5;2;3;0;4;7;0;0;0;0;0;0;Argentina
830;1987;Doutorado;Solteiro;74004;0;0;2/04/2021;5;784;48;560;42;176;48;1;4;6;4;3;0;0;1;1;0;1;Argentina
6365;1987;Segundo Grau;Solteiro;30390;0;0;09/02/2020;5;10;12;12;25;1;20;1;2;0;3;6;0;0;0;0;0;0;Argentina
6770;1985;Curso Superior;Solteiro;21355;1;0;08/05/2022;5;5;13;14;0;5;31;2;2;1;2;6;1;0;0;0;0;1;Portugal
2261;1969;Curso Superior;Solteiro;26304;1;0;6/04/2023;5;4;1;5;2;0;4;1;1;0;2;7;0;0;0;0;0;0;Alemanha
1031;1989;Segundo Grau;Solteiro;85710;0;0;05/05/2020;5;600;20;350;29;30;33;1;6;9;10;2;0;0;1;0;0;0;Argentina
10089;1974;Curso Superior;Divorciado;102692;0;0;04/05/2020;5;168;148;444;32;172;148;1;6;9;13;2;0;1;1;1;1;1;Espanha
9256;1971;Curso Superior;Solteiro;58350;0;1;01/04/2020;5;493;26;206;116;80;80;4;8;3;12;6;0;0;0;0;0;0;Estados Unidos
10641;1978;Curso Superior;Solteiro;7500;1;1;12/08/2022;5;6;5;4;13;4;25;4;2;1;3;6;0;0;0;0;0;0;Estados Unidos
624;1984;Mestrado;Solteiro;18890;0;0;11/07/2020;5;6;4;1;7;2;15;1;0;1;2;6;1;0;0;0;0;1;Espanha
4211;1986;Primeiro Grau;Solteiro;20425;1;0;10/09/2022;5;4;12;5;3;16;17;2;2;0;3;7;0;0;0;0;0;0;Chile
1407;1986;Primeiro Grau;Solteiro;20425;1;0;10/09/2022;5;4;12;5;3;16;17;2;2;0;3;7;0;0;0;0;0;0;Alemanha
10356;1957;Doutorado;Divorciado;41437;1;1;9/04/2022;5;29;0;2;0;0;1;1;1;0;3;7;0;0;0;0;0;0;Estados Unidos
9323;1949;Mestrado;Casado;49912;0;1;09/07/2019;5;520;8;223;32;49;42;4;10;5;7;8;1;0;0;0;0;1;Portugal
1146;1949;Mestrado;Casado;49912;0;1;09/07/2019;5;520;8;223;32;49;42;4;10;5;7;8;1;0;0;0;0;1;Brasil
6343;1959;Curso Superior;Solteiro;79823;0;1;3/08/2021;6;835;73;380;114;73;43;1;6;9;7;2;0;1;0;0;0;0;Brasil
8545;1954;Curso Superior;Divorciado;85683;0;0;3/04/2021;6;1296;17;311;45;69;51;1;2;4;10;1;0;1;1;1;1;1;Estados Unidos
8275;1965;Doutorado;Divorciado;47025;1;1;02/09/2018;6;16;0;3;0;0;1;1;1;0;2;7;0;0;0;0;0;0;Estados Unidos
10673;1976;Doutorado;Solteiro;68397;0;1;11/02/2023;6;760;80;466;17;13;80;1;6;9;5;3;0;0;0;0;0;0;Espanha
8799;1984;Doutorado;Solteiro;38175;1;0;9/04/2023;6;70;6;69;2;3;3;3;3;1;4;7;0;0;0;0;0;0;Estados Unidos
67;1972;Mestrado;Solteiro;46423;1;1;09/05/2022;6;68;0;16;0;0;8;3;2;0;4;7;0;0;0;0;0;0;Estados Unidos
9923;1972;Mestrado;Solteiro;46423;1;1;09/05/2022;6;68;0;16;0;0;8;3;2;0;4;7;0;0;0;0;0;0;Estados Unidos
2814;1976;Mestrado;Casado;30560;1;0;6/03/2023;6;9;1;5;4;5;7;1;1;0;3;7;0;0;0;0;0;0;Espanha
2711;1976;Mestrado;Casado;30560;1;0;6/03/2023;6;9;1;5;4;5;7;1;1;0;3;7;0;0;0;0;0;0;Chile
4320;1979;Curso Superior;Solteiro;60152;0;1;03/01/2023;6;325;83;300;86;58;91;1;6;4;12;3;0;0;0;0;0;0;Estados Unidos
10451;1965;Curso Superior;Casado;29672;1;1;03/09/2020;6;9;1;3;0;4;8;1;0;0;3;6;0;0;0;0;0;0;Espanha
4198;1965;Curso Superior;Casado;29672;1;1;03/10/2020;6;9;1;3;0;4;8;1;0;0;3;6;0;0;0;0;0;0;Estados Unidos
10814;1947;Curso Superior;Casado;70321;0;0;01/01/2023;6;303;23;751;82;26;191;1;6;5;13;4;0;0;0;0;0;1;Estados Unidos
944;1962;Curso Superior;Solteiro;56181;0;1;01/08/2020;6;121;103;69;8;44;48;1;4;2;7;4;0;0;0;0;0;0;Estados Unidos
8151;1990;Primeiro Grau;Solteiro;24279;0;0;12/09/2022;6;16;36;21;20;62;108;1;4;1;3;8;0;0;0;0;0;0;Estados Unidos
6184;1969;Doutorado;Solteiro;68462;0;0;12/04/2019;6;561;64;785;84;128;48;1;3;3;8;1;0;0;0;0;0;0;Estados Unidos
3498;1976;Doutorado;Solteiro;55424;0;1;11/04/2022;6;462;61;184;10;53;107;4;7;5;9;6;1;0;0;0;0;1;Estados Unidos
2870;1973;Curso Superior;Solteiro;49094;0;1;9/04/2022;6;376;0;38;11;8;69;5;6;3;6;6;0;0;0;0;0;0;Estados Unidos
7342;1961;Segundo Grau;Divorciado;59184;0;1;09/09/2019;6;341;142;113;259;151;66;3;6;6;12;5;0;0;0;0;0;0;Estados Unidos
1911;1987;Curso Superior;Casado;67430;0;0;09/05/2019;6;595;97;291;127;133;121;1;11;5;12;6;0;0;0;0;0;0;Alemanha
10862;1960;Mestrado;Solteiro;30522;0;1;8/02/2022;6;179;8;83;19;11;26;5;1;2;9;2;0;0;0;0;0;0;Estados Unidos
2546;1977;Segundo Grau;Solteiro;31878;0;1;6/04/2021;7;23;4;5;10;5;23;1;1;0;4;3;0;0;0;0;0;0;Estados Unidos
3005;1992;Curso Superior;Solteiro;83528;0;0;05/01/2018;7;530;117;678;134;44;147;1;4;10;8;1;1;0;0;1;0;1;Estados Unidos
8318;1979;Curso Superior;Casado;90300;0;0;01/03/2018;7;594;134;786;33;134;57;0;5;6;8;1;0;0;1;0;0;0;Estados Unidos
2930;1978;Mestrado;Solteiro;68092;0;0;12/01/2023;7;852;60;207;78;36;48;2;2;6;10;5;0;0;0;0;0;0;Espanha
8216;1972;Mestrado;Solteiro;53761;1;1;10/11/2020;7;158;0;76;13;7;71;6;4;4;3;5;0;0;0;0;0;0;Brasil
1212;1973;Curso Superior;Solteiro;52845;1;0;8/07/2023;7;384;25;292;130;41;64;3;8;8;6;6;1;0;0;0;0;0;Estados Unidos
2541;1976;Curso Superior;Solteiro;24027;1;0;06/09/2020;7;14;7;11;11;0;5;2;2;0;3;8;0;0;0;0;0;0;Estados Unidos
10659;1979;Segundo Grau;Casado;7500;1;0;05/07/2020;7;2;8;11;3;8;21;4;3;2;2;7;0;0;0;0;0;0;Argentina
